Country,Total Net Electrical Capacity [MW],Number of Operated Reactors,Nuclear Electricity Supplied [GW.h],Nuclear Share [%]
ARGENTINA,1641,3,7469.52,5.4
ARMENIA,416,1,2630.85,31.0
BELARUS,1110,1,4411.35,11.9
BELGIUM,5942,7,41744.41,46.4
BRAZIL,1884,2,13744.82,2.5
BULGARIA,2006,2,15784.09,32.6
CANADA,13624,19,81717.65,12.9
CHINA,52131,54,395353.82,5.0
CZECH REPUBLIC,3934,6,29310.3,36.7
FINLAND,4394,5,24241.97,35.0
FRANCE,61370,56,282093.23,62.6
GERMANY,4055,3,31892.24,5.8
HUNGARY,1916,4,14954.25,47.0
INDIA,6290,19,41973.14,3.1
"IRAN, ISLAMIC REPUBLIC OF",915,1,6008.02,1.7
JAPAN,9486,10,51907.51,6.1
"KOREA, REPUBLIC OF",24489,25,167513.86,30.4
MEXICO,1552,2,10539.46,4.5
"NETHERLANDS, KINGDOM OF THE",482,1,3930.56,3.3
PAKISTAN,3262,6,22219.28,16.2
ROMANIA,1300,2,10222.04,19.4
RUSSIA,27727,37,209516.56,19.6
SLOVAKIA,1868,4,14830.26,59.2
SLOVENIA,688,1,5310.7,42.8
SOUTH AFRICA,1854,2,10123.69,4.9
SPAIN,7123,7,56150.36,20.3
SWEDEN,6937,6,50018.23,29.4
SWITZERLAND,2973,4,23179.56,36.4
UNITED ARAB EMIRATES,4011,3,19300.45,12.4
UNITED KINGDOM,7343,12,43604.79,14.2
UNITED STATES OF AMERICA,95523,93,772220.52,18.2
Total,361105,401,2486834.66,NA
